Food Category,Cluster 0 (Mean),Cluster 1 (Mean)
Wheat-based foods,3.929824561,3.851351351
Wheat-free cereals,4.188596491,4.972972973
Fruits,7.385964912,8.72972973
Other Vegetables,13.06140351,11.68918919
"Starchy foods (Potato, Sweet Potato, Arbi etc.)",3.201754386,3.337837838
Pulses & Legumes,6.48245614,6.837837838
Predominant Saturated Fats,3.456140351,3.554054054
Predominant Unsaturated Fats,4.144736842,4.121621622
Trans Fats,1.070175439,0.878378378
Nuts & Oilseeds,1.657894737,2.27027027
"Eggs, Fish & Poultry",2.179824561,4.216216216
Red Meat,0.429824561,0.72972973
Milk,3.429824561,3.594594595
Low Lactose Dairy,3.859649123,4.324324324
Sweetened Beverages,2.298245614,6.243243243
Ultra Processed Foods,3.381578947,16.31081081
Ready to Eat Packaged Snacks,4.864035088,5.837837838
Savory Snacks,3.811403509,7.581081081
Processed Foods,4.171052632,6.864864865
Indian Sweet Meats,2.543859649,3.216216216
Food Supplements,0.298245614,0.945945946
Ergogenic Supplements,0.087719298,0.202702703
